#Frequency (Hz), S21re (), S21im (), S21dB (dB), S21Ph (rad), Power (dBm), Temperature (K), Power (K)
8.0840000000e+09, 4.6589790000e-02, 2.1400990000e-02, -2.5802736947e+01, 4.3060159529e-01, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0840500000e+09, 4.6643270000e-02, 2.0278630000e-02, -2.5872342146e+01, 4.1010836096e-01, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0841000000e+09, 4.7438860000e-02, 1.9463950000e-02, -2.5801613802e+01, 3.8935016560e-01, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0841500000e+09, 4.7650230000e-02, 1.8559210000e-02, -2.5825301843e+01, 3.7141190471e-01, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0842000000e+09, 4.7974800000e-02, 1.8122100000e-02, -2.5800455819e+01, 3.6117250222e-01, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0842500000e+09, 4.8404370000e-02, 1.6944460000e-02, -2.5800281086e+01, 3.3672875338e-01, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0843000000e+09, 4.8456380000e-02, 1.5696120000e-02, -2.5859649148e+01, 3.1325718280e-01, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0843500000e+09, 4.8698550000e-02, 1.4709960000e-02, -2.5870471904e+01, 2.9334705946e-01, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0844000000e+09, 4.9124650000e-02, 1.4314120000e-02, -2.5820095777e+01, 2.8353326455e-01, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0844500000e+09, 4.9650770000e-02, 1.3425990000e-02, -2.5774994296e+01, 2.6409253459e-01, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0845000000e+09, 4.9487790000e-02, 1.1967910000e-02, -2.5863193927e+01, 2.3727989584e-01, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0845500000e+09, 4.9549010000e-02, 1.0902720000e-02, -2.5893958957e+01, 2.1658760794e-01, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0846000000e+09, 5.0171280000e-02, 9.3755000000e-03, -2.5841827135e+01, 1.8473914022e-01, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0846500000e+09, 5.0257700000e-02, 9.2588750000e-03, -2.5830994638e+01, 1.8218519993e-01, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0847000000e+09, 5.0462180000e-02, 8.2540020000e-03, -2.5826013609e+01, 1.6213233186e-01, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0847500000e+09, 5.0746090000e-02, 7.2517710000e-03, -2.5804153218e+01, 1.4194204261e-01, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0848000000e+09, 5.0393910000e-02, 6.3732640000e-03, -2.5883525777e+01, 1.2580106560e-01, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0848500000e+09, 5.0661980000e-02, 5.2795390000e-03, -2.5859446930e+01, 1.0383626414e-01, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0849000000e+09, 5.0351700000e-02, 4.1396440000e-03, -2.5930461008e+01, 8.2030094284e-02, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0849500000e+09, 5.0928430000e-02, 2.9839810000e-03, -2.5845910519e+01, 5.8524744729e-02, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0850000000e+09, 5.0671790000e-02, 2.0282120000e-03, -2.5897722739e+01, 4.0005097427e-02, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0850500000e+09, 5.0618130000e-02, 1.1482440000e-03, -2.5911643828e+01, 2.2680551511e-02, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0851000000e+09, 5.0614460000e-02, 1.7916500000e-04, -2.5914453427e+01, 3.5397839211e-03, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0851500000e+09, 5.0596080000e-02, -4.9260980000e-04, -2.5917250931e+01, -9.7358181840e-03, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0852000000e+09, 5.0398110000e-02, -2.2245210000e-03, -2.5943262091e+01, -4.4110345525e-02, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0852500000e+09, 5.0948810000e-02, -2.7606190000e-03, -2.5844587229e+01, -5.4131236687e-02, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0853000000e+09, 5.0532830000e-02, -3.9199120000e-03, -2.5902472870e+01, -7.7416558088e-02, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0853500000e+09, 5.0424230000e-02, -5.0323390000e-03, -2.5904172576e+01, -9.9470645383e-02, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0854000000e+09, 5.0442720000e-02, -5.9711060000e-03, -2.5883597400e+01, -1.1782569053e-01, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0854500000e+09, 5.0031380000e-02, -6.8171730000e-03, -2.5935257637e+01, -1.3542395013e-01, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0855000000e+09, 5.0185910000e-02, -7.9805100000e-03, -2.5879909330e+01, -1.5769854018e-01, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
